X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.9908771417489,38.8999912937969,2,Ward 6,"1115 H St NE, Washington, District of Columbia 20002",1115 H Street NE (Woolworth Condo),Completed 2015 to Date,DMPED DHCD,4,38.89995096,-76.99087487,0,2,0,2,0,,311081,400791.55,136903.51,1115 H STREET NE,2020/08/31 04:00:41+00
-77.0241920605568,38.9069440450215,4,Ward 2,"1250 9th St NW, Washington, District of Columbia 20001",The Colonel,Completed 2015 to Date,DHCD,6,38.90693659,-77.02418977,0,3,0,3,0,,239786,397901.89,137675.56,1250 9TH STREET NW,2020/08/31 04:00:41+00
-76.987587025743,38.8786123092861,5,Ward 6,"1314 K St SE, Washington, District of Columbia 20003",1314 K Street SE Cooperative,Completed 2015 to Date,DHCD,12,38.87860486,-76.98758475,0,0,0,12,0,,68283,401077.27,134530.31,1314 K STREET SE,2020/08/31 04:00:41+00
-77.0323368684593,38.9082959392042,6,Ward 2,"1328 14th St NW, Washington, District of Columbia 20005",The Bentley,Completed 2015 to Date,DHCD,4,38.90830011,-77.03231394,0,0,0,4,0,,279073,397195.5,137825.85,1328 14TH STREET NW,2020/08/31 04:00:41+00
-76.9857711489296,38.899616215935,8,Ward 6,"1350 Maryland Ave NE, Washington, District of Columbia 20002",The Maryland,Completed 2015 to Date,DHCD,7,38.89946356,-76.98589398,0,0,0,7,0,,149108,401234.47,136861.93,1350 MARYLAND AVENUE NE,2020/08/31 04:00:41+00
-76.9819705832217,38.9259583281618,12,Ward 5,"1515 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",1515 Rhode Island Ave NE,Completed 2015 to Date,DHCD,2,38.92595087,-76.9819683,0,1,0,1,0,,61927,401563.57,139786.18,1515 RHODE ISLAND AVENUE NE,2020/08/31 04:00:41+00
-77.0453377761864,38.9234861568956,16,Ward 1,"1919 Calvert St NW, Washington, District of Columbia 20009",1919 Calvert St NW Tenants Association,Completed 2015 to Date,DHCD,14,38.9234787,-77.04533548,5,9,0,0,0,,236619,396068.72,139512.57,1919 CALVERT STREET NW,2020/08/31 04:00:41+00
-77.0226123812032,38.9162488973987,17,Ward 1,"1921 8th St NW, Washington, District of Columbia 20001",The Shay East,Completed 2015 to Date,DHCD,7,38.91629151,-77.022714,0,0,0,7,0,,310530,398039.16,138708.44,1921 8TH STREET NW,2020/08/31 04:00:41+00
-77.0232155402888,38.9165471351251,18,Ward 1,"1924 8th St NW, Washington, District of Columbia 20001",The Shay West,Completed 2015 to Date,DHCD,12,38.91653968,-77.02321325,0,0,0,12,0,,310465,397986.86,138741.56,1924 8TH STREET NW,2020/08/31 04:00:41+00
-77.0230906372456,38.9175422203037,20,Ward 1,"2030 8th St NW, Washington, District of Columbia 20001",Atlantic Plumbing,Completed 2015 to Date,DHCD,6,38.91753476,-77.02308835,0,0,0,6,0,,284162,397997.72,138852.02,2030 8TH STREET NW,2020/08/31 04:00:41+00
